Bracco Italiano	Gundog
Braque D'Auvergne	Gundog
Brittany	Gundog
English Setter	Gundog
German Longhaired Pointer	Gundog
German Shorthaired Pointer	Gundog
German Wirehaired Pointer	Gundog
Gordon Setter	Gundog
Hungarian Vizsla	Gundog
Hungarian Wire Haired Vizsla	Gundog
Irish Red & White Setter	Gundog
Irish Setter	Gundog
Italian Spinone	Gundog
Korthals Griffon	Gundog
Lagotto Romagnolo	Gundog
Large Munsterlander	Gundog
Pointer	Gundog
Portuguese Pointer	Gundog
Retriever Chesapeake Bay	Gundog
Retriever Curly Coated	Gundog
Retriever Flat Coated	Gundog
Retriever Golden	Gundog
Retriever Labrador	Gundog
Retriever Nova Scotia Duck Tolling	Gundog
Slovakian Rough Haired Pointer	Gundog
Small Munsterlander	Gundog
Spaniel American Cocker	Gundog
Spaniel American Water	Gundog
Spaniel Clumber	Gundog
Spaniel Cocker	Gundog
Spaniel English Springer	Gundog
Spaniel Field	Gundog
Spaniel Irish Water	Gundog
Spaniel Sussex	Gundog
Spaniel Welsh Springer	Gundog
Spanish Water Dog	Gundog
Weimaraner	Gundog
Afghan Hound	Hound
Azawakh	Hound
Basenji	Hound
Basset Bleu De Gascogne	Hound
Basset Fauve De Bretagne	Hound
Basset Griffon Vendeen Grand	Hound
Basset Griffon Vendeen Petit	Hound
PBGV	Hound
Basset Hound	Hound
Bavarian Mountain Hound	Hound
Beagle	Hound
Bloodhound	Hound
Borzoi	Hound
Cirneco Dell'Etna	Hound
Dachshund Long Haired	Hound
Dachshund Miniature Long Haired	Hound
Dachshund Miniature Smooth Haired	Hound
Dachshund Miniature Wire Haired	Hound
Dachshund Smooth Haired	Hound
Dachshund Wire Haired	Hound
Deerhound	Hound
Finnish Spitz	Hound
Foxhound	Hound
Grand Bleu De Gascogne	Hound
Greyhound	Hound
Griffon Fauve De Bretagne	Hound
Hamiltonstovare	Hound
Ibizan Hound	Hound
Irish Wolfhound	Hound
Norwegian Elkhound	Hound
Otterhound	Hound
Pharaoh Hound	Hound
Portuguese Podengo	Hound
Rhodesian Ridgeback	Hound
Saluki	Hound
Segugio Italiano	Hound
Sloughi	Hound
Whippet	Hound
Anatolian Shepherd Dog	Pastoral
Australian Cattle Dog	Pastoral
Australian Shepherd	Pastoral
Bearded Collie	Pastoral
Beauceron	Pastoral
Belgian Shepherd Dog Groenendael	Pastoral
Belgian Shepherd Dog Laekenois	Pastoral
Belgian Shepherd Dog Malinois	Pastoral
Belgian Shepherd Dog Tervueren	Pastoral
Bergamasco	Pastoral
Border Collie	Pastoral
Briard	Pastoral
Catalan Sheepdog	Pastoral
Collie Rough	Pastoral
Collie Smooth	Pastoral
Estrela Mountain Dog	Pastoral
Finnish Lapphund	Pastoral
German Shepherd Dog	Pastoral
Hungarian Kuvasz	Pastoral
Hungarian Puli	Pastoral
Hungarian Pumi	Pastoral
Komondor	Pastoral
Lancashire Heeler	Pastoral
Maremma Sheepdog	Pastoral
Norwegian Buhund	Pastoral
Old English Sheepdog	Pastoral
Picardy Sheepdog	Pastoral
Polish Lowland Sheepdog	Pastoral
Pyrenean Mountain Dog	Pastoral
Pyrenean Sheepdog Long Haired	Pastoral
Samoyed	Pastoral
Shetland Sheepdog	Pastoral
Swedish Lapphund	Pastoral
Swedish Vallhund	Pastoral
Turkish Kangal Dog	Pastoral
Welsh Corgi Cardigan	Pastoral
Welsh Corgi Pembroke	Pastoral
White Swiss Shepherd Dog	Pastoral
Airedale Terrier	Terrier
Australian Terrier	Terrier
Bedlington Terrier	Terrier
Border Terrier	Terrier
Bull Terrier	Terrier
Bull Terrier Miniature	Terrier
Cairn Terrier	Terrier
Cesky Terrier	Terrier
Dandie Dinmont Terrier	Terrier
Fox Terrier Smooth	Terrier
Fox Terrier Wire	Terrier
Glen Of Imaal Terrier	Terrier
Irish Terrier	Terrier
Jack Russell Terrier	Terrier
Kerry Blue Terrier	Terrier
Lakeland Terrier	Terrier
Manchester Terrier	Terrier
Norfolk Terrier	Terrier
Norwich Terrier	Terrier
Parson Russell Terrier	Terrier
Scottish Terrier	Terrier
Sealyham Terrier	Terrier
Skye Terrier	Terrier
Soft Coated Wheaten Terrier	Terrier
Staffordshire Bull Terrier	Terrier
Welsh Terrier	Terrier
West Highland White Terrier	Terrier
Affenpinscher	Toy
Australian Silky Terrier	Toy
Bichon Frise	Toy
Bolognese	Toy
Cavalier King Charles Spaniel	Toy
Chihuahua Long Coat	Toy
Chihuahua Smooth Coat	Toy
Chinese Crested	Toy
Coton De Tulear	Toy
English Toy Terrier Black & Tan	Toy
Griffon Bruxellois	Toy
Havanese	Toy
Italian Greyhound	Toy
Japanese Chin	Toy
King Charles Spaniel	Toy
Lowchen Little Lion Dog	Toy
Maltese	Toy
Miniature Pinscher	Toy
Papillon	Toy
Pekingese	Toy
Pomeranian	Toy
Pug	Toy
Russian Toy	Toy
Yorkshire Terrier	Toy
Akita	Utility
Boston Terrier	Utility
Bulldog	Utility
Canaan Dog	Utility
Chow Chow	Utility
Dalmatian	Utility
Eurasier	Utility
French Bulldog	Utility
German Spitz Klein	Utility
German Spitz Mittel	Utility
Japanese Akita Inu	Utility
Japanese Shiba Inu	Utility
Japanese Spitz	Utility
Keeshond	Utility
Kooikerhondje	Utility
Korean Jindo	Utility
Lhasa Apso	Utility
Miniature Schnauzer	Utility
Poodle Miniature	Utility
Poodle Standard	Utility
Poodle Toy	Utility
Schipperke	Utility
Schnauzer	Utility
Shar Pei	Utility
Shih Tzu	Utility
Tibetan Spaniel	Utility
Tibetan Terrier	Utility
Xoloitzcuintle Mex Hairless Int	Utility
Xoloitzcuintle Mex Hairless Min	Utility
Xoloitzcuintle Mex Hairless Std	Utility
Alaskan Malamute	Working
Bernese Mountain Dog	Working
Bouvier Des Flandres	Working
Boxer	Working
Bullmastiff	Working
Canadian Eskimo Dog	Working
Dobermann	Working
Dogue de Bordeaux	Working
Entlebucher Mountain Dog	Working
German Pinscher	Working
Giant Schnauzer	Working
Great Dane	Working
Great Swiss Mountain Dog	Working
Greenland Dog	Working
Hovawart	Working
Leonberger	Working
Mastiff	Working
Neapolitan Mastiff	Working
Newfoundland	Working
Portuguese Water Dog	Working
Pyrenean Mastiff	Working
Rottweiler	Working
Russian Black Terrier	Working
Siberian Husky	Working
St. Bernard	Working
Tibetan Mastiff	Working

